historical_success_rate,historical_failure_count,consecutive_failures,total_orders,customer_age_days,previous_recovery_success,root_cause,payment_method,attempt_number,amount_bucket,hour_of_day,day_of_week,action_type,delay_hours,recovered
0.792,10,1,13,267,1,repeated_failure,card,1,high,18,4,RETRY_LATER,1,0
0.792,10,1,13,267,1,repeated_failure,card,1,high,18,4,RETRY_LATER,6,0
0.792,10,1,13,267,1,repeated_failure,card,1,high,18,4,RETRY_LATER,24,0
0.792,10,1,13,267,1,repeated_failure,card,1,high,18,4,ALTERNATIVE_PAYMENT,0,0
0.792,10,1,13,267,1,repeated_failure,card,1,high,18,4,CUSTOMER_MESSAGE,0,0
0.792,10,1,13,267,1,invalid_payment_method,upi,1,high,3,2,RETRY_LATER,1,0
0.792,10,1,13,267,1,invalid_payment_method,upi,1,high,3,2,RETRY_LATER,6,0
0.792,10,1,13,267,1,invalid_payment_method,upi,1,high,3,2,RETRY_LATER,24,0
0.792,10,1,13,267,1,invalid_payment_method,upi,1,high,3,2,ALTERNATIVE_PAYMENT,0,1
0.792,10,1,13,267,1,invalid_payment_method,upi,1,high,3,2,CUSTOMER_MESSAGE,0,1
0.792,10,3,13,267,1,invalid_payment_method,upi,1,high,2,5,RETRY_LATER,1,0
0.792,10,3,13,267,1,invalid_payment_method,upi,1,high,2,5,RETRY_LATER,6,0
0.792,10,3,13,267,1,invalid_payment_method,upi,1,high,2,5,RETRY_LATER,24,0
0.792,10,3,13,267,1,invalid_payment_method,upi,1,high,2,5,ALTERNATIVE_PAYMENT,0,0
0.792,10,3,13,267,1,invalid_payment_method,upi,1,high,2,5,CUSTOMER_MESSAGE,0,1
0.792,10,1,13,267,1,temporary_failure,netbanking,1,high,13,5,RETRY_LATER,1,1
0.792,10,1,13,267,1,temporary_failure,netbanking,1,high,13,5,RETRY_LATER,6,1
0.792,10,1,13,267,1,temporary_failure,netbanking,1,high,13,5,RETRY_LATER,24,1
0.792,10,1,13,267,1,temporary_failure,netbanking,1,high,13,5,ALTERNATIVE_PAYMENT,0,1
0.792,10,1,13,267,1,temporary_failure,netbanking,1,high,13,5,CUSTOMER_MESSAGE,0,0
0.792,10,1,13,267,1,temporary_failure,wallet,1,low,6,2,RETRY_LATER,1,1
0.792,10,1,13,267,1,temporary_failure,wallet,1,low,6,2,RETRY_LATER,6,1
0.792,10,1,13,267,1,temporary_failure,wallet,1,low,6,2,RETRY_LATER,24,1
0.792,10,1,13,267,1,temporary_failure,wallet,1,low,6,2,ALTERNATIVE_PAYMENT,0,1
0.792,10,1,13,267,1,temporary_failure,wallet,1,low,6,2,CUSTOMER_MESSAGE,0,1
0.874,5,2,16,390,1,repeated_failure,upi,1,medium,5,3,RETRY_LATER,1,0
0.874,5,2,16,390,1,repeated_failure,upi,1,medium,5,3,RETRY_LATER,6,0
0.874,5,2,16,390,1,repeated_failure,upi,1,medium,5,3,RETRY_LATER,24,1
0.874,5,2,16,390,1,repeated_failure,upi,1,medium,5,3,ALTERNATIVE_PAYMENT,0,0
0.874,5,2,16,390,1,repeated_failure,upi,1,medium,5,3,CUSTOMER_MESSAGE,0,0
0.874,5,1,16,390,1,invalid_payment_method,netbanking,1,low,5,3,RETRY_LATER,1,0
0.874,5,1,16,390,1,invalid_payment_method,netbanking,1,low,5,3,RETRY_LATER,6,0
0.874,5,1,16,390,1,invalid_payment_method,netbanking,1,low,5,3,RETRY_LATER,24,1
0.874,5,1,16,390,1,invalid_payment_method,netbanking,1,low,5,3,ALTERNATIVE_PAYMENT,0,0
0.874,5,1,16,390,1,invalid_payment_method,netbanking,1,low,5,3,CUSTOMER_MESSAGE,0,1
0.874,5,1,16,390,1,temporary_failure,netbanking,2,high,5,6,RETRY_LATER,1,0
0.874,5,1,16,390,1,temporary_failure,netbanking,2,high,5,6,RETRY_LATER,6,1
0.874,5,1,16,390,1,temporary_failure,netbanking,2,high,5,6,RETRY_LATER,24,1
0.874,5,1,16,390,1,temporary_failure,netbanking,2,high,5,6,ALTERNATIVE_PAYMENT,0,1
0.874,5,1,16,390,1,temporary_failure,netbanking,2,high,5,6,CUSTOMER_MESSAGE,0,0
0.874,5,1,16,390,1,bank_unavailable,netbanking,1,low,8,6,RETRY_LATER,1,1
0.874,5,1,16,390,1,bank_unavailable,netbanking,1,low,8,6,RETRY_LATER,6,1
0.874,5,1,16,390,1,bank_unavailable,netbanking,1,low,8,6,RETRY_LATER,24,1
0.874,5,1,16,390,1,bank_unavailable,netbanking,1,low,8,6,ALTERNATIVE_PAYMENT,0,1
0.874,5,1,16,390,1,bank_unavailable,netbanking,1,low,8,6,CUSTOMER_MESSAGE,0,1
0.874,5,2,16,390,1,unknown,netbanking,2,low,3,6,RETRY_LATER,1,1
0.874,5,2,16,390,1,unknown,netbanking,2,low,3,6,RETRY_LATER,6,1
0.874,5,2,16,390,1,unknown,netbanking,2,low,3,6,RETRY_LATER,24,0
0.874,5,2,16,390,1,unknown,netbanking,2,low,3,6,ALTERNATIVE_PAYMENT,0,0
0.874,5,2,16,390,1,unknown,netbanking,2,low,3,6,CUSTOMER_MESSAGE,0,0
0.737,12,2,14,169,0,unknown,card,1,medium,14,4,RETRY_LATER,1,1
0.737,12,2,14,169,0,unknown,card,1,medium,14,4,RETRY_LATER,6,0
0.737,12,2,14,169,0,unknown,card,1,medium,14,4,RETRY_LATER,24,1
0.737,12,2,14,169,0,unknown,card,1,medium,14,4,ALTERNATIVE_PAYMENT,0,1
0.737,12,2,14,169,0,unknown,card,1,medium,14,4,CUSTOMER_MESSAGE,0,0
0.737,12,2,14,169,0,processor_timeout,wallet,3,high,0,1,RETRY_LATER,1,0
0.737,12,2,14,169,0,processor_timeout,wallet,3,high,0,1,RETRY_LATER,6,0
0.737,12,2,14,169,0,processor_timeout,wallet,3,high,0,1,RETRY_LATER,24,1
0.737,12,2,14,169,0,processor_timeout,wallet,3,high,0,1,ALTERNATIVE_PAYMENT,0,0
0.737,12,2,14,169,0,processor_timeout,wallet,3,high,0,1,CUSTOMER_MESSAGE,0,0
0.737,12,1,14,169,0,unknown,card,1,medium,3,5,RETRY_LATER,1,0
0.737,12,1,14,169,0,unknown,card,1,medium,3,5,RETRY_LATER,6,0
0.737,12,1,14,169,0,unknown,card,1,medium,3,5,RETRY_LATER,24,0
0.737,12,1,14,169,0,unknown,card,1,medium,3,5,ALTERNATIVE_PAYMENT,0,0
0.737,12,1,14,169,0,unknown,card,1,medium,3,5,CUSTOMER_MESSAGE,0,0
0.737,12,2,14,169,0,card_expired,upi,1,medium,10,4,RETRY_LATER,1,0
0.737,12,2,14,169,0,card_expired,upi,1,medium,10,4,RETRY_LATER,6,0
0.737,12,2,14,169,0,card_expired,upi,1,medium,10,4,RETRY_LATER,24,0
0.737,12,2,14,169,0,card_expired,upi,1,medium,10,4,ALTERNATIVE_PAYMENT,0,1
0.737,12,2,14,169,0,card_expired,upi,1,medium,10,4,CUSTOMER_MESSAGE,0,1
0.737,12,2,14,169,0,processor_timeout,upi,3,high,23,3,RETRY_LATER,1,1
0.737,12,2,14,169,0,processor_timeout,upi,3,high,23,3,RETRY_LATER,6,1
0.737,12,2,14,169,0,processor_timeout,upi,3,high,23,3,RETRY_LATER,24,0
0.737,12,2,14,169,0,processor_timeout,upi,3,high,23,3,ALTERNATIVE_PAYMENT,0,0
0.737,12,2,14,169,0,processor_timeout,upi,3,high,23,3,CUSTOMER_MESSAGE,0,0
0.326,25,1,1,167,1,temporary_failure,card,1,medium,7,4,RETRY_LATER,1,1
0.326,25,1,1,167,1,temporary_failure,card,1,medium,7,4,RETRY_LATER,6,1
0.326,25,1,1,167,1,temporary_failure,card,1,medium,7,4,RETRY_LATER,24,1
0.326,25,1,1,167,1,temporary_failure,card,1,medium,7,4,ALTERNATIVE_PAYMENT,0,0
0.326,25,1,1,167,1,temporary_failure,card,1,medium,7,4,CUSTOMER_MESSAGE,0,1
0.326,25,2,1,167,1,processor_timeout,card,2,medium,7,0,RETRY_LATER,1,1
0.326,25,2,1,167,1,processor_timeout,card,2,medium,7,0,RETRY_LATER,6,1
0.326,25,2,1,167,1,processor_timeout,card,2,medium,7,0,RETRY_LATER,24,0
0.326,25,2,1,167,1,processor_timeout,card,2,medium,7,0,ALTERNATIVE_PAYMENT,0,0
0.326,25,2,1,167,1,processor_timeout,card,2,medium,7,0,CUSTOMER_MESSAGE,0,1
0.326,25,2,1,167,1,unknown,wallet,1,low,17,1,RETRY_LATER,1,1
0.326,25,2,1,167,1,unknown,wallet,1,low,17,1,RETRY_LATER,6,1
0.326,25,2,1,167,1,unknown,wallet,1,low,17,1,RETRY_LATER,24,0
0.326,25,2,1,167,1,unknown,wallet,1,low,17,1,ALTERNATIVE_PAYMENT,0,0
0.326,25,2,1,167,1,unknown,wallet,1,low,17,1,CUSTOMER_MESSAGE,0,1
0.326,25,3,1,167,1,processor_timeout,wallet,2,medium,5,4,RETRY_LATER,1,0
0.326,25,3,1,167,1,processor_timeout,wallet,2,medium,5,4,RETRY_LATER,6,0
0.326,25,3,1,167,1,processor_timeout,wallet,2,medium,5,4,RETRY_LATER,24,1
0.326,25,3,1,167,1,processor_timeout,wallet,2,medium,5,4,ALTERNATIVE_PAYMENT,0,1
0.326,25,3,1,167,1,processor_timeout,wallet,2,medium,5,4,CUSTOMER_MESSAGE,0,0
0.326,25,2,1,167,1,repeated_failure,netbanking,2,low,18,1,RETRY_LATER,1,0
0.326,25,2,1,167,1,repeated_failure,netbanking,2,low,18,1,RETRY_LATER,6,0
0.326,25,2,1,167,1,repeated_failure,netbanking,2,low,18,1,RETRY_LATER,24,1
0.326,25,2,1,167,1,repeated_failure,netbanking,2,low,18,1,ALTERNATIVE_PAYMENT,0,0
0.326,25,2,1,167,1,repeated_failure,netbanking,2,low,18,1,CUSTOMER_MESSAGE,0,0
0.495,21,1,4,13,0,bank_unavailable,card,1,low,13,2,RETRY_LATER,1,0
0.495,21,1,4,13,0,bank_unavailable,card,1,low,13,2,RETRY_LATER,6,0
0.495,21,1,4,13,0,bank_unavailable,card,1,low,13,2,RETRY_LATER,24,0
0.495,21,1,4,13,0,bank_unavailable,card,1,low,13,2,ALTERNATIVE_PAYMENT,0,0
0.495,21,1,4,13,0,bank_unavailable,card,1,low,13,2,CUSTOMER_MESSAGE,0,1
0.495,21,2,4,13,0,invalid_payment_method,upi,2,low,20,5,RETRY_LATER,1,0
0.495,21,2,4,13,0,invalid_payment_method,upi,2,low,20,5,RETRY_LATER,6,0
0.495,21,2,4,13,0,invalid_payment_method,upi,2,low,20,5,RETRY_LATER,24,0
0.495,21,2,4,13,0,invalid_payment_method,upi,2,low,20,5,ALTERNATIVE_PAYMENT,0,0
0.495,21,2,4,13,0,invalid_payment_method,upi,2,low,20,5,CUSTOMER_MESSAGE,0,1
0.495,21,1,4,13,0,temporary_failure,netbanking,3,low,23,6,RETRY_LATER,1,1
0.495,21,1,4,13,0,temporary_failure,netbanking,3,low,23,6,RETRY_LATER,6,0
0.495,21,1,4,13,0,temporary_failure,netbanking,3,low,23,6,RETRY_LATER,24,1
0.495,21,1,4,13,0,temporary_failure,netbanking,3,low,23,6,ALTERNATIVE_PAYMENT,0,0
0.495,21,1,4,13,0,temporary_failure,netbanking,3,low,23,6,CUSTOMER_MESSAGE,0,0
0.495,21,1,4,13,0,processor_timeout,wallet,2,low,12,2,RETRY_LATER,1,1
0.495,21,1,4,13,0,processor_timeout,wallet,2,low,12,2,RETRY_LATER,6,1
0.495,21,1,4,13,0,processor_timeout,wallet,2,low,12,2,RETRY_LATER,24,1
0.495,21,1,4,13,0,processor_timeout,wallet,2,low,12,2,ALTERNATIVE_PAYMENT,0,0
0.495,21,1,4,13,0,processor_timeout,wallet,2,low,12,2,CUSTOMER_MESSAGE,0,0
0.495,21,2,4,13,0,repeated_failure,wallet,1,high,1,0,RETRY_LATER,1,0
0.495,21,2,4,13,0,repeated_failure,wallet,1,high,1,0,RETRY_LATER,6,0
0.495,21,2,4,13,0,repeated_failure,wallet,1,high,1,0,RETRY_LATER,24,0
0.495,21,2,4,13,0,repeated_failure,wallet,1,high,1,0,ALTERNATIVE_PAYMENT,0,1
0.495,21,2,4,13,0,repeated_failure,wallet,1,high,1,0,CUSTOMER_MESSAGE,0,0
0.834,1,3,31,691,0,invalid_payment_method,netbanking,1,low,22,3,RETRY_LATER,1,1
0.834,1,3,31,691,0,invalid_payment_method,netbanking,1,low,22,3,RETRY_LATER,6,1
0.834,1,3,31,691,0,invalid_payment_method,netbanking,1,low,22,3,RETRY_LATER,24,0
0.834,1,3,31,691,0,invalid_payment_method,netbanking,1,low,22,3,ALTERNATIVE_PAYMENT,0,1
0.834,1,3,31,691,0,invalid_payment_method,netbanking,1,low,22,3,CUSTOMER_MESSAGE,0,1
0.834,1,3,31,691,0,invalid_payment_method,wallet,1,high,7,6,RETRY_LATER,1,0
0.834,1,3,31,691,0,invalid_payment_method,wallet,1,high,7,6,RETRY_LATER,6,0
0.834,1,3,31,691,0,invalid_payment_method,wallet,1,high,7,6,RETRY_LATER,24,0
0.834,1,3,31,691,0,invalid_payment_method,wallet,1,high,7,6,ALTERNATIVE_PAYMENT,0,1
0.834,1,3,31,691,0,invalid_payment_method,wallet,1,high,7,6,CUSTOMER_MESSAGE,0,0
0.834,1,4,31,691,0,temporary_failure,netbanking,1,medium,14,1,RETRY_LATER,1,1
0.834,1,4,31,691,0,temporary_failure,netbanking,1,medium,14,1,RETRY_LATER,6,1
0.834,1,4,31,691,0,temporary_failure,netbanking,1,medium,14,1,RETRY_LATER,24,1
0.834,1,4,31,691,0,temporary_failure,netbanking,1,medium,14,1,ALTERNATIVE_PAYMENT,0,1
0.834,1,4,31,691,0,temporary_failure,netbanking,1,medium,14,1,CUSTOMER_MESSAGE,0,0
0.834,1,1,31,691,0,repeated_failure,netbanking,1,high,10,3,RETRY_LATER,1,1
0.834,1,1,31,691,0,repeated_failure,netbanking,1,high,10,3,RETRY_LATER,6,0
0.834,1,1,31,691,0,repeated_failure,netbanking,1,high,10,3,RETRY_LATER,24,0
0.834,1,1,31,691,0,repeated_failure,netbanking,1,high,10,3,ALTERNATIVE_PAYMENT,0,1
0.834,1,1,31,691,0,repeated_failure,netbanking,1,high,10,3,CUSTOMER_MESSAGE,0,0
0.834,1,1,31,691,0,insufficient_funds,upi,1,high,5,3,RETRY_LATER,1,0
0.834,1,1,31,691,0,insufficient_funds,upi,1,high,5,3,RETRY_LATER,6,0
0.834,1,1,31,691,0,insufficient_funds,upi,1,high,5,3,RETRY_LATER,24,1
0.834,1,1,31,691,0,insufficient_funds,upi,1,high,5,3,ALTERNATIVE_PAYMENT,0,1
0.834,1,1,31,691,0,insufficient_funds,upi,1,high,5,3,CUSTOMER_MESSAGE,0,0
0.862,4,1,35,349,0,bank_unavailable,netbanking,1,medium,3,3,RETRY_LATER,1,0
0.862,4,1,35,349,0,bank_unavailable,netbanking,1,medium,3,3,RETRY_LATER,6,0
0.862,4,1,35,349,0,bank_unavailable,netbanking,1,medium,3,3,RETRY_LATER,24,1
0.862,4,1,35,349,0,bank_unavailable,netbanking,1,medium,3,3,ALTERNATIVE_PAYMENT,0,1
0.862,4,1,35,349,0,bank_unavailable,netbanking,1,medium,3,3,CUSTOMER_MESSAGE,0,0
0.862,4,1,35,349,0,invalid_payment_method,upi,3,medium,15,2,RETRY_LATER,1,0
0.862,4,1,35,349,0,invalid_payment_method,upi,3,medium,15,2,RETRY_LATER,6,0
0.862,4,1,35,349,0,invalid_payment_method,upi,3,medium,15,2,RETRY_LATER,24,0
0.862,4,1,35,349,0,invalid_payment_method,upi,3,medium,15,2,ALTERNATIVE_PAYMENT,0,1
0.862,4,1,35,349,0,invalid_payment_method,upi,3,medium,15,2,CUSTOMER_MESSAGE,0,0
0.862,4,1,35,349,0,temporary_failure,netbanking,1,low,2,5,RETRY_LATER,1,1
0.862,4,1,35,349,0,temporary_failure,netbanking,1,low,2,5,RETRY_LATER,6,1
0.862,4,1,35,349,0,temporary_failure,netbanking,1,low,2,5,RETRY_LATER,24,0
0.862,4,1,35,349,0,temporary_failure,netbanking,1,low,2,5,ALTERNATIVE_PAYMENT,0,1
0.862,4,1,35,349,0,temporary_failure,netbanking,1,low,2,5,CUSTOMER_MESSAGE,0,0
0.862,4,2,35,349,0,bank_unavailable,upi,1,low,22,4,RETRY_LATER,1,0
0.862,4,2,35,349,0,bank_unavailable,upi,1,low,22,4,RETRY_LATER,6,0
0.862,4,2,35,349,0,bank_unavailable,upi,1,low,22,4,RETRY_LATER,24,0
0.862,4,2,35,349,0,bank_unavailable,upi,1,low,22,4,ALTERNATIVE_PAYMENT,0,1
0.862,4,2,35,349,0,bank_unavailable,upi,1,low,22,4,CUSTOMER_MESSAGE,0,0
0.862,4,1,35,349,0,bank_unavailable,wallet,1,medium,9,3,RETRY_LATER,1,1
0.862,4,1,35,349,0,bank_unavailable,wallet,1,medium,9,3,RETRY_LATER,6,1
0.862,4,1,35,349,0,bank_unavailable,wallet,1,medium,9,3,RETRY_LATER,24,0
0.862,4,1,35,349,0,bank_unavailable,wallet,1,medium,9,3,ALTERNATIVE_PAYMENT,0,1
0.862,4,1,35,349,0,bank_unavailable,wallet,1,medium,9,3,CUSTOMER_MESSAGE,0,1
0.699,12,1,15,187,1,unknown,wallet,2,high,16,0,RETRY_LATER,1,1
0.699,12,1,15,187,1,unknown,wallet,2,high,16,0,RETRY_LATER,6,1
0.699,12,1,15,187,1,unknown,wallet,2,high,16,0,RETRY_LATER,24,0
0.699,12,1,15,187,1,unknown,wallet,2,high,16,0,ALTERNATIVE_PAYMENT,0,1
0.699,12,1,15,187,1,unknown,wallet,2,high,16,0,CUSTOMER_MESSAGE,0,1
0.699,12,1,15,187,1,insufficient_funds,wallet,2,high,6,0,RETRY_LATER,1,0
0.699,12,1,15,187,1,insufficient_funds,wallet,2,high,6,0,RETRY_LATER,6,0
0.699,12,1,15,187,1,insufficient_funds,wallet,2,high,6,0,RETRY_LATER,24,0
0.699,12,1,15,187,1,insufficient_funds,wallet,2,high,6,0,ALTERNATIVE_PAYMENT,0,0
0.699,12,1,15,187,1,insufficient_funds,wallet,2,high,6,0,CUSTOMER_MESSAGE,0,1
0.699,12,2,15,187,1,repeated_failure,wallet,1,medium,22,3,RETRY_LATER,1,0
0.699,12,2,15,187,1,repeated_failure,wallet,1,medium,22,3,RETRY_LATER,6,0
0.699,12,2,15,187,1,repeated_failure,wallet,1,medium,22,3,RETRY_LATER,24,0
0.699,12,2,15,187,1,repeated_failure,wallet,1,medium,22,3,ALTERNATIVE_PAYMENT,0,0
0.699,12,2,15,187,1,repeated_failure,wallet,1,medium,22,3,CUSTOMER_MESSAGE,0,1
0.699,12,1,15,187,1,bank_unavailable,wallet,1,low,6,3,RETRY_LATER,1,1
0.699,12,1,15,187,1,bank_unavailable,wallet,1,low,6,3,RETRY_LATER,6,1
0.699,12,1,15,187,1,bank_unavailable,wallet,1,low,6,3,RETRY_LATER,24,0
0.699,12,1,15,187,1,bank_unavailable,wallet,1,low,6,3,ALTERNATIVE_PAYMENT,0,1
0.699,12,1,15,187,1,bank_unavailable,wallet,1,low,6,3,CUSTOMER_MESSAGE,0,0
0.699,12,3,15,187,1,unknown,wallet,1,low,22,5,RETRY_LATER,1,0
0.699,12,3,15,187,1,unknown,wallet,1,low,22,5,RETRY_LATER,6,0
0.699,12,3,15,187,1,unknown,wallet,1,low,22,5,RETRY_LATER,24,1
0.699,12,3,15,187,1,unknown,wallet,1,low,22,5,ALTERNATIVE_PAYMENT,0,0
0.699,12,3,15,187,1,unknown,wallet,1,low,22,5,CUSTOMER_MESSAGE,0,0
0.8,4,1,11,231,0,insufficient_funds,upi,1,high,10,1,RETRY_LATER,1,0
0.8,4,1,11,231,0,insufficient_funds,upi,1,high,10,1,RETRY_LATER,6,0
0.8,4,1,11,231,0,insufficient_funds,upi,1,high,10,1,RETRY_LATER,24,1
0.8,4,1,11,231,0,insufficient_funds,upi,1,high,10,1,ALTERNATIVE_PAYMENT,0,1
0.8,4,1,11,231,0,insufficient_funds,upi,1,high,10,1,CUSTOMER_MESSAGE,0,1
0.8,4,1,11,231,0,bank_unavailable,netbanking,1,low,5,0,RETRY_LATER,1,0
0.8,4,1,11,231,0,bank_unavailable,netbanking,1,low,5,0,RETRY_LATER,6,1
0.8,4,1,11,231,0,bank_unavailable,netbanking,1,low,5,0,RETRY_LATER,24,0
0.8,4,1,11,231,0,bank_unavailable,netbanking,1,low,5,0,ALTERNATIVE_PAYMENT,0,1
0.8,4,1,11,231,0,bank_unavailable,netbanking,1,low,5,0,CUSTOMER_MESSAGE,0,0
0.8,4,1,11,231,0,card_expired,upi,2,medium,12,4,RETRY_LATER,1,0
0.8,4,1,11,231,0,card_expired,upi,2,medium,12,4,RETRY_LATER,6,0
0.8,4,1,11,231,0,card_expired,upi,2,medium,12,4,RETRY_LATER,24,0
0.8,4,1,11,231,0,card_expired,upi,2,medium,12,4,ALTERNATIVE_PAYMENT,0,1
0.8,4,1,11,231,0,card_expired,upi,2,medium,12,4,CUSTOMER_MESSAGE,0,1
0.8,4,1,11,231,0,card_expired,netbanking,1,low,13,6,RETRY_LATER,1,0
0.8,4,1,11,231,0,card_expired,netbanking,1,low,13,6,RETRY_LATER,6,0
0.8,4,1,11,231,0,card_expired,netbanking,1,low,13,6,RETRY_LATER,24,0
0.8,4,1,11,231,0,card_expired,netbanking,1,low,13,6,ALTERNATIVE_PAYMENT,0,1
0.8,4,1,11,231,0,card_expired,netbanking,1,low,13,6,CUSTOMER_MESSAGE,0,1
0.8,4,1,11,231,0,invalid_payment_method,upi,1,medium,10,5,RETRY_LATER,1,0
0.8,4,1,11,231,0,invalid_payment_method,upi,1,medium,10,5,RETRY_LATER,6,0
0.8,4,1,11,231,0,invalid_payment_method,upi,1,medium,10,5,RETRY_LATER,24,0
0.8,4,1,11,231,0,invalid_payment_method,upi,1,medium,10,5,ALTERNATIVE_PAYMENT,0,1
0.8,4,1,11,231,0,invalid_payment_method,upi,1,medium,10,5,CUSTOMER_MESSAGE,0,0
0.872,3,2,2,25,0,unknown,upi,1,low,7,1,RETRY_LATER,1,0
0.872,3,2,2,25,0,unknown,upi,1,low,7,1,RETRY_LATER,6,1
0.872,3,2,2,25,0,unknown,upi,1,low,7,1,RETRY_LATER,24,0
0.872,3,2,2,25,0,unknown,upi,1,low,7,1,ALTERNATIVE_PAYMENT,0,0
0.872,3,2,2,25,0,unknown,upi,1,low,7,1,CUSTOMER_MESSAGE,0,0
0.872,3,3,2,25,0,bank_unavailable,upi,1,medium,1,6,RETRY_LATER,1,0
0.872,3,3,2,25,0,bank_unavailable,upi,1,medium,1,6,RETRY_LATER,6,0
0.872,3,3,2,25,0,bank_unavailable,upi,1,medium,1,6,RETRY_LATER,24,0
