historical_success_rate,historical_failure_count,consecutive_failures,total_orders,customer_age_days,previous_recovery_success,root_cause,payment_method,attempt_number,amount_bucket,hour_of_day,day_of_week,action_type,delay_hours,recovered
0.556,5,1,7,174,1,bank_unavailable,netbanking,2,low,4,5,RETRY_LATER,1,0
0.556,5,1,7,174,1,bank_unavailable,netbanking,2,low,4,5,RETRY_LATER,6,1
0.556,5,1,7,174,1,bank_unavailable,netbanking,2,low,4,5,RETRY_LATER,24,0
0.556,5,1,7,174,1,bank_unavailable,netbanking,2,low,4,5,ALTERNATIVE_PAYMENT,0,1
0.556,5,1,7,174,1,bank_unavailable,netbanking,2,low,4,5,CUSTOMER_MESSAGE,0,1
0.556,5,1,7,174,1,insufficient_funds,netbanking,1,high,22,4,RETRY_LATER,1,0
0.556,5,1,7,174,1,insufficient_funds,netbanking,1,high,22,4,RETRY_LATER,6,0
0.556,5,1,7,174,1,insufficient_funds,netbanking,1,high,22,4,RETRY_LATER,24,0
0.556,5,1,7,174,1,insufficient_funds,netbanking,1,high,22,4,ALTERNATIVE_PAYMENT,0,0
0.556,5,1,7,174,1,insufficient_funds,netbanking,1,high,22,4,CUSTOMER_MESSAGE,0,1
0.556,5,1,7,174,1,repeated_failure,upi,1,low,3,0,RETRY_LATER,1,0
0.556,5,1,7,174,1,repeated_failure,upi,1,low,3,0,RETRY_LATER,6,0
0.556,5,1,7,174,1,repeated_failure,upi,1,low,3,0,RETRY_LATER,24,0
0.556,5,1,7,174,1,repeated_failure,upi,1,low,3,0,ALTERNATIVE_PAYMENT,0,1
0.556,5,1,7,174,1,repeated_failure,upi,1,low,3,0,CUSTOMER_MESSAGE,0,0
0.556,5,1,7,174,1,bank_unavailable,wallet,1,medium,19,6,RETRY_LATER,1,1
0.556,5,1,7,174,1,bank_unavailable,wallet,1,medium,19,6,RETRY_LATER,6,1
0.556,5,1,7,174,1,bank_unavailable,wallet,1,medium,19,6,RETRY_LATER,24,0
0.556,5,1,7,174,1,bank_unavailable,wallet,1,medium,19,6,ALTERNATIVE_PAYMENT,0,1
0.556,5,1,7,174,1,bank_unavailable,wallet,1,medium,19,6,CUSTOMER_MESSAGE,0,0
0.556,5,1,7,174,1,insufficient_funds,netbanking,1,medium,11,1,RETRY_LATER,1,0
0.556,5,1,7,174,1,insufficient_funds,netbanking,1,medium,11,1,RETRY_LATER,6,1
0.556,5,1,7,174,1,insufficient_funds,netbanking,1,medium,11,1,RETRY_LATER,24,0
